rev_id,auto_labeled,damaging,goodfaith,rev_link,anonymous,seconds_since_registration,label_damage,damagescore,label_faith,confidence_faith
644933637,False,False,True,https://en.wikipedia.org/w/index.php?oldid=644933637,False,252046960.0,False,0.003678539971387063,True,0.9972849758160631
629393521,False,False,True,https://en.wikipedia.org/w/index.php?oldid=629393521,False,16107886.0,False,0.06321758147744945,True,0.9797610570344762
655365754,False,False,True,https://en.wikipedia.org/w/index.php?oldid=655365754,False,301898190.0,False,0.008745354787219316,True,0.9929658187700039
616502017,False,False,True,https://en.wikipedia.org/w/index.php?oldid=616502017,True,0.0,True,0.5632404443332256,True,0.5995023925089519
651762922,False,False,True,https://en.wikipedia.org/w/index.php?oldid=651762922,False,119055508.0,False,0.004359333811218221,True,0.9965896985095324
627285087,False,False,True,https://en.wikipedia.org/w/index.php?oldid=627285087,False,249109947.0,False,0.0190681898955364,True,0.9880970868606672
612824795,False,False,True,https://en.wikipedia.org/w/index.php?oldid=612824795,True,0.0,True,0.5578249040045864,False,0.4860270203936197
654572034,False,False,True,https://en.wikipedia.org/w/index.php?oldid=654572034,False,120404683.0,False,0.004134936097166506,True,0.9972209142427413
623618264,False,False,True,https://en.wikipedia.org/w/index.php?oldid=623618264,False,132223501.0,False,0.013013554818618633,True,0.9885784834497396
651824841,False,False,True,https://en.wikipedia.org/w/index.php?oldid=651824841,False,67017621.0,False,0.03165664955436199,True,0.9860087605016681
632073318,False,False,True,https://en.wikipedia.org/w/index.php?oldid=632073318,False,172637715.0,False,0.008776868425543158,True,0.9880867765533421
644660563,False,False,True,https://en.wikipedia.org/w/index.php?oldid=644660563,True,0.0,False,0.4992363358551177,True,0.7188371655144156
632788939,False,False,True,https://en.wikipedia.org/w/index.php?oldid=632788939,False,143376788.0,False,0.036841215498935986,True,0.967200326544392
626178947,False,False,True,https://en.wikipedia.org/w/index.php?oldid=626178947,False,272877163.0,False,0.010700922332086372,True,0.9947982475716041
629602968,False,False,True,https://en.wikipedia.org/w/index.php?oldid=629602968,False,228991552.0,False,0.018727802578279704,True,0.9927096543100861
638734753,False,False,True,https://en.wikipedia.org/w/index.php?oldid=638734753,True,0.0,False,0.05494434320116472,True,0.9666440672357902
617009151,False,False,True,https://en.wikipedia.org/w/index.php?oldid=617009151,,
634102630,False,False,True,https://en.wikipedia.org/w/index.php?oldid=634102630,False,186522725.0,False,0.009868852516140305,True,0.9946986960186138
640469309,False,False,True,https://en.wikipedia.org/w/index.php?oldid=640469309,False,244220748.0,False,0.005021372734935595,True,0.9961525739071238
621065216,False,False,True,https://en.wikipedia.org/w/index.php?oldid=621065216,False,228096271.0,False,0.01278737291765413,True,0.9893485227273581
624286600,False,False,True,https://en.wikipedia.org/w/index.php?oldid=624286600,False,367187.0,False,0.07587763851607288,True,0.9625164924396359
614637212,False,False,True,https://en.wikipedia.org/w/index.php?oldid=614637212,False,120602884.0,False,0.05015594824836202,True,0.9556437702896905
645183614,False,False,True,https://en.wikipedia.org/w/index.php?oldid=645183614,False,307329491.0,False,0.007920499542207403,True,0.9966737567735245
638838986,False,False,True,https://en.wikipedia.org/w/index.php?oldid=638838986,False,158980096.0,False,0.011713817349802513,True,0.9946599915156585
610159528,False,False,True,https://en.wikipedia.org/w/index.php?oldid=610159528,False,212612482.0,False,0.006812691359064613,True,0.9916559929820139
653061283,False,False,True,https://en.wikipedia.org/w/index.php?oldid=653061283,True,0.0,False,0.4399933720856773,True,0.5662980967445043
653028545,False,False,True,https://en.wikipedia.org/w/index.php?oldid=653028545,False,95653198.0,False,0.04602430601874175,True,0.9776173602403138
631242746,False,False,True,https://en.wikipedia.org/w/index.php?oldid=631242746,False,248153695.0,False,0.056654892704592806,True,0.9833332196942476
639172921,False,False,True,https://en.wikipedia.org/w/index.php?oldid=639172921,False,249912690.0,False,0.03963927599851856,True,0.9703536809840193
